,sofifa_id,first_position,second_position,third_position,hits,team,height_cm,weight_kg,value_eur,wage_eur,preferred_foot,international_reputation,release_clause_eur,team_jersey_number,loaned_from,contract_valid_until,shooting,passing,dribbling,defending,physic,name,age,nationality,potential,overall
0,158023,ST,CF,RW,299,FC Barcelona,170,72,95.5,565.0,Left,5,195800000.0,10.0,,2021.0,92.0,92.0,96.0,39.0,66.0,L. Messi,33,Argentina,94,94
1,20801,ST,LW,,276,Juventus,187,83,58.5,405.0,Right,5,96500000.0,7.0,,2022.0,93.0,82.0,89.0,35.0,78.0,Cristiano Ronaldo,35,Portugal,93,93
2,190871,CAM,LW,,186,Paris Saint-Germain,175,68,105.5,290.0,Right,5,195200000.0,10.0,,2022.0,85.0,87.0,95.0,32.0,58.0,Neymar Jr,28,Brazil,92,92
3,203376,CB,,,127,Liverpool,193,92,78.0,200.0,Right,3,150200000.0,4.0,,2023.0,60.0,70.0,71.0,90.0,86.0,V. van Dijk,29,Netherlands,92,91
4,200389,GK,,,47,AtlÃ©tico Madrid,188,87,77.5,125.0,Right,3,164700000.0,13.0,,2023.0,,,,,,J. Oblak,27,Slovenia,93,91
5,192985,CM,CAM,,119,Manchester City,181,70,90.0,370.0,Right,4,166500000.0,17.0,,2023.0,86.0,92.0,86.0,61.0,78.0,K. De Bruyne,29,Belgium,91,91
6,188545,ST,,,89,FC Bayern MÃ¼nchen,184,80,64.5,235.0,Right,4,106400000.0,9.0,,2021.0,87.0,74.0,85.0,41.0,82.0,R. Lewandowski,31,Poland,91,91
7,183277,ST,LW,,66,Real Madrid,175,74,90.0,470.0,Right,4,184500000.0,7.0,,2024.0,83.0,86.0,94.0,35.0,66.0,E. Hazard,29,Belgium,91,91
8,212831,GK,,,53,Liverpool,191,91,58.0,155.0,Right,3,111700000.0,1.0,,2024.0,,,,,,Alisson,27,Brazil,91,90
9,209331,ST,RW,,94,Liverpool,175,71,80.5,240.0,Left,3,148900000.0,11.0,,2023.0,86.0,81.0,89.0,45.0,74.0,M. Salah,28,Egypt,90,90
10,208722,LW,,,76,Liverpool,175,69,62.0,220.0,Right,3,114700000.0,10.0,,2023.0,83.0,77.0,89.0,44.0,74.0,S. ManÃ©,28,Senegal,90,90
11,192448,GK,,,68,FC Barcelona,187,85,67.5,250.0,Right,3,143400000.0,1.0,,2022.0,,,,,,M. ter Stegen,28,Germany,93,90
12,153079,ST,,,50,Manchester City,173,70,60.0,300.0,Right,4,111000000.0,10.0,,2021.0,90.0,77.0,88.0,33.0,74.0,S. AgÃ¼ero,32,Argentina,90,90
13,231747,ST,RW,LW,222,Paris Saint-Germain,178,73,93.5,155.0,Right,3,191700000.0,7.0,,2022.0,84.0,78.0,90.0,39.0,75.0,K. MbappÃ©,21,France,95,89
14,215914,CDM,CM,,75,Chelsea,168,72,66.0,235.0,Right,3,130400000.0,7.0,,2023.0,65.0,77.0,81.0,87.0,83.0,N. KantÃ©,29,France,89,89
15,202126,ST,,,64,Tottenham Hotspur,188,89,83.0,220.0,Right,3,159800000.0,10.0,,2024.0,91.0,79.0,81.0,47.0,83.0,H. Kane,27,England,91,89
16,194765,ST,CF,LW,66,FC Barcelona,176,73,69.0,370.0,Left,4,141500000.0,17.0,,2024.0,86.0,84.0,89.0,57.0,72.0,A. Griezmann,29,France,89,89
17,182521,CM,,,37,Real Madrid,183,76,57.0,330.0,Right,4,116900000.0,8.0,,2023.0,80.0,90.0,81.0,70.0,69.0,T. Kroos,30,Germany,89,89
18,177003,CM,,,31,Real Madrid,172,66,45.0,340.0,Right,4,92300000.0,10.0,,2020.0,76.0,89.0,89.0,72.0,66.0,L. ModriÄ,34,Croatia,89,89
19,176580,ST,,,54,FC Barcelona,182,86,53.0,355.0,Right,5,108700000.0,9.0,,2021.0,89.0,80.0,84.0,51.0,84.0,L. SuÃ¡rez,33,Uruguay,89,89
20,167495,GK,,,42,FC Bayern MÃ¼nchen,193,92,32.0,155.0,Right,5,52800000.0,1.0,,2021.0,,,,,,M. Neuer,34,Germany,89,89
21,155862,CB,,,55,Real Madrid,184,82,31.5,300.0,Right,4,64600000.0,4.0,,2020.0,68.0,75.0,73.0,87.0,85.0,Sergio Ramos,34,Spain,89,89
22,210257,GK,,,40,Manchester City,188,86,54.5,185.0,Left,2,104900000.0,31.0,,2024.0,,,,,,Ederson,26,Brazil,91,88
23,202652,RW,LW,,61,Manchester City,170,69,73.0,255.0,Right,3,140500000.0,7.0,,2023.0,79.0,78.0,89.0,45.0,57.0,R. Sterling,25,England,90,88
24,201942,CF,,,79,Liverpool,181,76,52.0,170.0,Right,3,100100000.0,9.0,,2023.0,82.0,80.0,87.0,61.0,78.0,Roberto Firmino,28,Brazil,88,88
25,201024,CB,,,78,Napoli,187,89,67.5,150.0,Right,3,119800000.0,26.0,,2021.0,28.0,54.0,67.0,89.0,87.0,K. Koulibaly,29,Senegal,90,88
26,200145,CDM,,,37,Real Madrid,185,84,53.5,240.0,Right,3,113700000.0,14.0,,2021.0,72.0,75.0,72.0,85.0,89.0,Casemiro,28,Brazil,89,88
27,193080,GK,,,39,Manchester United,192,82,56.0,205.0,Right,4,110600000.0,1.0,,2020.0,,,,,,De Gea,29,Spain,88,88
28,192119,GK,,,34,Real Madrid,199,96,48.0,235.0,Left,4,102000000.0,13.0,,2024.0,,,,,,T. Courtois,28,Belgium,89,88
29,189511,CDM,,,34,FC Barcelona,189,76,55.0,300.0,Right,4,112800000.0,5.0,,2023.0,62.0,80.0,80.0,85.0,80.0,Sergio Busquets,32,Spain,88,88
30,188567,ST,LM,,114,Arsenal,187,80,57.0,205.0,Right,3,108300000.0,14.0,,2021.0,85.0,75.0,80.0,37.0,69.0,P. Aubameyang,31,Gabon,88,88
31,165153,ST,CF,,51,Real Madrid,185,81,45.0,285.0,Right,4,92300000.0,9.0,,2021.0,82.0,80.0,86.0,39.0,77.0,K. Benzema,32,France,88,88
32,162835,GK,,,13,Inter,193,92,26.0,110.0,Right,3,44200000.0,1.0,,2021.0,,,,,,S. HandanoviÄ,36,Slovenia,88,88
33,152729,CB,,,41,FC Barcelona,194,85,38.0,285.0,Right,4,77900000.0,3.0,,2022.0,61.0,72.0,68.0,88.0,80.0,PiquÃ©,33,Spain,88,88
34,138956,CB,,,19,Juventus,187,85,24.5,215.0,Left,4,40400000.0,3.0,,2020.0,46.0,58.0,60.0,90.0,82.0,G. Chiellini,35,Italy,88,88
35,218667,CM,CAM,RW,53,Manchester City,173,64,64.0,210.0,Left,2,123200000.0,20.0,,2024.0,76.0,83.0,92.0,51.0,67.0,Bernardo Silva,25,Portugal,90,87
36,212622,RB,CDM,CM,82,FC Bayern MÃ¼nchen,176,73,48.0,125.0,Right,3,82800000.0,32.0,,2023.0,69.0,86.0,84.0,79.0,78.0,J. Kimmich,25,Germany,90,87
37,212218,CB,,,38,Manchester City,189,85,56.5,195.0,Left,2,108800000.0,14.0,,2024.0,50.0,71.0,68.0,88.0,82.0,A. Laporte,26,France,90,87
